username,total_tweets,tweets_2022,tweets_2023,tweets_2024,first_tweet,last_tweet
0alwaysdreamer0,131,0,0,0,2021-12-02 00:06:32.553000+00:00,2026-02-14 00:23:31.435000+00:00
0mfahzf4tebztdl,9,1,3,1,2022-04-21 23:21:54.546000+00:00,2026-02-09 19:10:09.287000+00:00
0qcgdh3bdamfozf,104,0,0,77,2024-03-20 17:29:10.890000+00:00,2025-12-09 21:25:08.868000+00:00
105_sakariyou,80,12,0,0,2021-11-14 20:13:30.425000+00:00,2022-01-17 12:49:45.903000+00:00
1364ghazal62816,1,0,1,0,2023-04-09 21:00:28.387000+00:00,2023-04-09 21:00:28.387000+00:00
13virginiawoolf,119,0,0,0,2025-11-23 14:29:33.524000+00:00,2026-02-15 08:56:06.575000+00:00
1pezeshk_plus,2,0,0,0,2016-11-10 00:21:36.792000+00:00,2016-11-10 09:15:17.185000+00:00
1wqrz,94,0,53,30,2023-01-22 06:00:29.746000+00:00,2025-11-26 23:40:12.818000+00:00
2017siyasi,117,0,0,2,2024-06-23 16:53:52.742000+00:00,2026-02-07 18:10:30.630000+00:00
20lincoln20,113,43,57,13,2022-11-18 11:05:32.809000+00:00,2024-08-16 04:18:09.138000+00:00
20rapcom,116,0,0,0,2025-06-13 14:23:55.198000+00:00,2026-01-07 15:34:49.858000+00:00
2_rebelgirl,59,0,0,0,2025-09-14 21:12:55.333000+00:00,2026-02-14 19:57:32.235000+00:00
2bender,119,67,51,0,2020-01-12 22:37:53.388000+00:00,2023-07-29 06:42:14.272000+00:00
2ndravanparish,80,0,0,0,2020-01-20 14:51:41.901000+00:00,2026-02-14 21:56:41.812000+00:00
2x0x2x4,86,0,0,3,2024-07-24 02:12:34.275000+00:00,2025-06-28 19:24:07.093000+00:00
34gwr77liku4hw8,3,0,0,0,2021-12-01 16:20:10.275000+00:00,2021-12-03 04:43:01.406000+00:00
35anj,96,40,9,6,2019-03-13 10:31:19.053000+00:00,2026-02-09 11:53:48.247000+00:00
3eyedamir,58,0,0,1,2024-07-07 12:40:00.207000+00:00,2026-02-14 17:39:02.539000+00:00
3tareee,58,0,0,0,2026-02-07 22:48:10.432000+00:00,2026-02-15 01:54:59.544000+00:00
404arsynotfound,53,0,0,0,2025-11-26 14:38:56.483000+00:00,2026-02-05 20:38:20.634000+00:00
4freedom4iran,114,0,0,0,2015-07-25 21:25:33.078000+00:00,2026-02-15 15:11:19.145000+00:00
4freedominiran,94,0,0,0,2026-02-08 09:55:38.244000+00:00,2026-02-15 09:24:01.289000+00:00
5ogand,105,0,0,0,2026-01-07 23:30:44.580000+00:00,2026-02-15 16:30:32.972000+00:00
5y6aahcdftzn4me,77,3,0,0,2020-08-08 07:12:37.564000+00:00,2022-07-25 10:59:33.316000+00:00
61pari93357,79,0,0,0,2018-09-06 13:29:32.454000+00:00,2026-02-14 19:53:02.308000+00:00
9tantiope,125,10,5,16,2020-08-18 17:58:08.073000+00:00,2024-05-11 22:37:17.264000+00:00
___mohsen_,119,0,0,3,2012-04-08 15:00:26.917000+00:00,2026-02-15 09:13:28.899000+00:00
__injaneb96,91,0,1,0,2023-12-14 19:28:42.804000+00:00,2026-02-15 08:32:14.540000+00:00
_aespect,115,0,0,0,2025-02-11 17:01:44.649000+00:00,2026-02-15 09:16:39.682000+00:00
_ali_najjar_,117,0,0,0,2026-02-01 18:24:21.500000+00:00,2026-02-14 22:55:04.365000+00:00
_aliemili_,189,1,0,0,2022-09-12 12:03:42.102000+00:00,2026-02-14 18:32:43.914000+00:00
_angry_n___,120,0,0,0,2026-01-11 18:25:45.008000+00:00,2026-02-14 18:59:23.948000+00:00
_fatemeramezani,108,20,88,0,2022-10-28 19:28:31.825000+00:00,2023-05-30 20:11:50.844000+00:00
_h_o_o_r_,75,0,0,3,2024-09-11 20:02:42.709000+00:00,2026-02-11 17:48:09.087000+00:00
_ipesarekhob,298,0,0,191,2024-01-12 19:36:48.487000+00:00,2025-12-29 18:53:51.466000+00:00
_iweni,62,7,1,51,2022-10-16 12:57:27.355000+00:00,2026-02-01 23:30:51.019000+00:00
_iwftw,85,0,0,0,2025-07-06 22:48:24.043000+00:00,2026-01-26 11:27:18.292000+00:00
_mahdiyar313,54,0,0,0,2026-02-11 18:21:34.942000+00:00,2026-02-14 23:25:35.608000+00:00
_mehrabooon,176,20,0,0,2021-02-07 07:29:48.837000+00:00,2022-05-26 11:17:19.180000+00:00
_thejimbo_,97,0,0,0,2017-12-25 06:27:41.352000+00:00,2018-10-02 22:33:34.549000+00:00
_theleftover,131,0,1,1,2021-07-17 12:10:12.344000+00:00,2026-02-14 20:53:41.283000+00:00
_ya_karim_,161,0,0,0,2025-06-05 16:22:12.574000+00:00,2026-02-14 18:07:44.541000+00:00
a_01_2024,84,0,0,1,2024-08-04 09:26:05.676000+00:00,2026-02-13 14:06:00.904000+00:00
a_abothman,55,0,0,0,2026-02-04 21:27:32.898000+00:00,2026-02-14 14:22:23.973000+00:00
a_f_cebeci,100,0,0,0,2026-01-15 08:58:32.094000+00:00,2026-02-13 17:06:29.386000+00:00
a_rnazari,64,0,0,0,2025-01-10 16:53:16.611000+00:00,2026-02-14 18:16:02.350000+00:00
a_z_im,114,0,0,2,2024-10-18 15:35:48.842000+00:00,2026-02-14 23:37:12.976000+00:00
aa1915898,4,0,0,0,2025-02-03 23:25:32.171000+00:00,2025-12-16 12:51:26.029000+00:00
aa51_ansari,106,0,1,8,2023-09-11 06:50:11.983000+00:00,2026-02-01 16:01:20.676000+00:00
aaalirz,89,0,0,22,2024-01-08 17:26:31.336000+00:00,2025-01-18 00:14:27.110000+00:00
aahassas,61,0,0,1,2024-11-14 20:00:02.665000+00:00,2025-08-19 11:40:48.457000+00:00
aahonarmand,110,0,0,1,2024-07-10 10:36:25.097000+00:00,2026-02-09 06:07:05.739000+00:00
aami_r1385,61,0,0,0,2025-12-12 21:46:46.312000+00:00,2026-01-29 10:22:23.237000+00:00
aanahelll,17,1,3,2,2022-11-22 19:48:03.975000+00:00,2026-02-13 11:03:05.795000+00:00
aasangari,8,0,0,1,2014-06-25 11:34:36.598000+00:00,2025-09-07 16:00:56.873000+00:00
ab_ganji,152,0,0,0,2026-01-06 16:59:01.115000+00:00,2026-02-15 14:46:08.700000+00:00
abadguy000,147,0,0,0,2026-01-29 16:52:36.341000+00:00,2026-02-15 09:47:29.596000+00:00
aban_paris,55,0,0,0,2020-07-17 14:32:47.699000+00:00,2026-02-14 22:07:01.854000+00:00
abas_asgharpour,59,0,6,33,2019-12-13 10:59:42.073000+00:00,2025-12-29 00:59:35.820000+00:00
abasaslani,96,0,0,0,2026-02-04 22:05:07.626000+00:00,2026-02-15 14:57:27.970000+00:00
abasiabbassi,124,0,0,5,2024-10-13 18:16:42.365000+00:00,2026-02-13 18:21:55.788000+00:00
abb_abdi,97,0,0,0,2025-05-25 05:27:11.969000+00:00,2026-01-07 06:36:45.339000+00:00
abba3pakbin,100,11,12,36,2022-03-01 21:47:34.204000+00:00,2026-02-04 23:53:43.213000+00:00
abbasalawadi6,11,2,5,0,2021-04-04 15:41:23.729000+00:00,2026-02-05 11:48:57.649000+00:00
abbasi_j_5,55,0,0,0,2026-02-09 21:19:55.813000+00:00,2026-02-13 16:34:37.306000+00:00
abbasi_students,89,0,0,17,2024-09-29 12:29:18.865000+00:00,2026-02-11 17:50:36.121000+00:00
abbasiniho,78,0,1,12,2023-10-15 16:56:56.221000+00:00,2026-02-15 00:29:36.746000+00:00
abbasmehdavi312,89,0,0,0,2025-08-06 23:13:07.672000+00:00,2026-01-26 06:23:28.099000+00:00
abbasmowzoon,141,130,0,0,2021-05-05 14:50:18.366000+00:00,2022-05-07 20:24:21.869000+00:00
abdeekalantari,132,0,0,39,2024-04-24 19:03:10.390000+00:00,2026-02-14 17:39:02.539000+00:00
abdimonireh,85,1,30,8,2022-06-08 17:44:01.306000+00:00,2026-02-09 09:46:40.996000+00:00
abdolhamid_net,248,0,46,89,2023-07-31 16:39:32.459000+00:00,2026-02-10 09:51:58.663000+00:00
abdolhamidnet,184,0,0,64,2024-09-20 19:01:08.238000+00:00,2026-02-13 14:17:46.397000+00:00
abdolhamidnetar,237,0,80,90,2023-02-04 17:25:04.955000+00:00,2026-02-14 19:54:01.084000+00:00
abdollahram,177,0,0,8,2024-04-24 19:03:10.390000+00:00,2026-01-08 13:11:05.330000+00:00
abdul_majid33,93,0,0,0,2021-05-23 04:44:27.236000+00:00,2026-02-15 18:33:09.469000+00:00
abdulbaset22,122,0,0,0,2012-08-21 18:54:43.950000+00:00,2026-02-14 16:16:37.162000+00:00
abdullahmohtadi,124,0,0,41,2024-06-09 19:06:13.878000+00:00,2026-02-12 15:06:30.143000+00:00
abdulwadudkha12,9,0,0,0,2025-10-15 16:24:08.730000+00:00,2025-10-24 20:11:41.546000+00:00
abed33474966,53,8,3,31,2022-04-22 09:38:15.337000+00:00,2026-02-07 04:11:54.675000+00:00
abedimonfared1,103,0,0,1,2018-05-09 12:34:43.837000+00:00,2026-02-12 21:09:39.455000+00:00
abehtarin,70,0,0,70,2024-06-26 10:14:34.632000+00:00,2024-10-16 23:25:11.623000+00:00
abfarideh,109,0,0,0,2018-05-02 11:38:59.807000+00:00,2026-02-15 15:47:47.029000+00:00
abhaddadii,123,0,2,0,2023-01-17 18:05:57.009000+00:00,2026-02-15 11:28:15.859000+00:00
abhishekbhaya,94,0,0,0,2025-11-05 18:44:54.986000+00:00,2026-02-13 06:27:13.667000+00:00
ablrchi,95,0,0,0,2026-01-26 23:19:23.849000+00:00,2026-02-15 11:22:54.382000+00:00
aboarab90547242,22,13,9,0,2022-11-01 20:28:20.639000+00:00,2023-11-19 17:38:23.271000+00:00
abolie17386,54,0,0,0,2025-12-20 09:20:23.848000+00:00,2026-01-08 18:15:34.475000+00:00
aboutmes7,81,0,0,0,2025-12-02 16:04:57.280000+00:00,2026-02-14 15:56:14.914000+00:00
aboyahiaalsgldy,98,0,0,0,2026-01-03 10:00:26.307000+00:00,2026-02-14 09:01:32.296000+00:00
absmadridista,91,0,0,0,2026-01-26 19:54:16.802000+00:00,2026-02-14 20:23:43.050000+00:00
abtahi_m,128,0,0,0,2025-09-30 08:48:12.803000+00:00,2026-02-02 20:18:53.162000+00:00
abttaniq,84,0,0,0,2019-03-23 17:07:39.975000+00:00,2026-02-04 00:27:09.251000+00:00
achaharmahaliy,7,0,0,0,2025-04-29 06:57:15.596000+00:00,2025-10-06 20:33:47.786000+00:00
activistrafiey,85,0,0,19,2024-11-10 07:38:05.628000+00:00,2026-02-10 10:58:04.844000+00:00
adameaval,171,0,0,0,2025-08-24 10:25:15.492000+00:00,2026-02-15 05:36:33.144000+00:00
adarehgharibi,32,0,0,0,2020-03-07 06:23:47.614000+00:00,2025-12-30 10:31:12.198000+00:00
adfiranofficial,10,0,10,0,2023-03-10 17:02:36.731000+00:00,2023-03-20 21:30:36.284000+00:00
adnanaltia,192,0,0,0,2025-05-14 15:35:25.111000+00:00,2026-02-11 14:26:46.791000+00:00
adorno_persian,44,0,1,0,2023-02-24 06:49:32.815000+00:00,2026-02-13 22:41:30.869000+00:00
aeeeeeeeeeeen,138,0,0,0,2025-07-23 01:07:59.296000+00:00,2026-02-14 22:32:25.340000+00:00
aesmailnazhad,70,0,0,0,2026-01-27 09:38:55.366000+00:00,2026-02-14 17:44:47.738000+00:00
afarouk92,150,0,0,0,2019-09-28 14:55:55.346000+00:00,2026-02-15 15:43:14.212000+00:00
afcasiancup_ar,52,0,0,1,2024-04-24 19:03:10.390000+00:00,2026-02-13 16:30:08.439000+00:00
afghan271,19,0,0,1,2020-02-03 11:50:04.205000+00:00,2026-01-20 21:56:16.147000+00:00
afintlarabic,53,0,0,0,2026-02-11 10:04:16.666000+00:00,2026-02-14 21:59:04.175000+00:00
afrasyabia,86,0,0,7,2019-05-27 12:44:56.187000+00:00,2026-02-14 23:32:30.818000+00:00
afshin_46,142,0,0,0,2025-12-26 22:49:52.317000+00:00,2026-02-14 19:43:25.934000+00:00
afshin_rasa,4,0,0,0,2021-03-14 15:09:36.729000+00:00,2021-09-21 13:24:02.941000+00:00
afshinagin62,93,0,0,0,2025-08-02 04:31:42.437000+00:00,2026-02-14 20:40:35.798000+00:00
afshinbahrami33,10,0,3,0,2017-12-11 20:15:21.369000+00:00,2023-11-15 12:48:31.964000+00:00
afshinzare1,12,0,0,0,2016-08-19 13:54:37.944000+00:00,2016-09-23 14:48:39.912000+00:00
ageofpahlavi,51,0,0,1,2024-09-12 01:09:03.853000+00:00,2026-02-15 02:24:25.939000+00:00
agha_mohamad1_,158,0,0,0,2020-01-03 23:23:20.762000+00:00,2026-02-14 23:31:25.004000+00:00
agha_xavier2,106,0,0,0,2019-05-12 23:24:49.518000+00:00,2026-02-14 23:30:56.374000+00:00
aghamiri_hosein,122,0,8,81,2020-02-21 07:38:33.833000+00:00,2026-02-13 18:15:35.220000+00:00
aghmamrez,126,1,0,0,2018-06-26 20:52:19.655000+00:00,2026-02-13 17:39:41.552000+00:00
aghomchi,156,66,57,32,2022-02-26 07:26:52.890000+00:00,2025-05-12 15:16:31.378000+00:00
aghplt,102,0,0,0,2025-10-03 01:34:23.118000+00:00,2026-02-14 14:23:10.474000+00:00
ahadsadeghi71,118,0,15,68,2023-10-14 23:24:55.843000+00:00,2025-12-25 17:53:16.077000+00:00
ahangevafa,208,0,0,0,2021-08-20 13:10:12.453000+00:00,2026-02-14 16:29:20.983000+00:00
ahangparvaz_co,67,0,9,1,2018-10-17 15:41:44.094000+00:00,2026-02-12 21:49:45.814000+00:00
ahdeaghiq,25,0,0,0,2012-10-10 10:06:51.194000+00:00,2012-10-16 11:25:10.120000+00:00
ahlebeytmedia,62,0,0,0,2025-09-08 14:15:35.269000+00:00,2026-02-14 17:51:08.287000+00:00
ahmadabdulsada,131,2,0,3,2022-07-19 11:29:20.476000+00:00,2026-02-14 23:23:49.135000+00:00
ahmadalirezaei,55,0,0,0,2025-07-24 10:39:12.403000+00:00,2026-02-03 07:53:37.139000+00:00
ahmadi_fae83290,33,0,0,30,2024-03-16 00:27:10.766000+00:00,2025-10-12 00:13:37.657000+00:00
ahmadnaderi_ir,80,0,0,0,2025-02-26 15:59:00.358000+00:00,2026-02-12 18:30:22.393000+00:00
ahmadrezagz,92,0,0,0,2026-01-05 11:48:53.346000+00:00,2026-02-14 21:24:38.602000+00:00
ahmadrezakzmi,161,0,19,56,2019-03-16 21:27:03.703000+00:00,2026-02-14 04:59:37.496000+00:00
ahmadsamadi1974,117,0,0,0,2025-09-19 13:01:18.013000+00:00,2026-02-14 21:23:04.609000+00:00
ahmedabdal94,1,0,0,0,2026-01-14 01:22:02.461000+00:00,2026-01-14 01:22:02.461000+00:00
ahmedalharbi0_,110,0,0,0,2020-10-08 12:56:36.269000+00:00,2026-02-14 14:49:54.587000+00:00
aibaensch,17,0,0,0,2025-06-24 00:33:06.957000+00:00,2025-09-09 19:10:01.800000+00:00
aidanajra,67,0,1,0,2023-07-23 12:59:40.569000+00:00,2026-02-14 09:21:08.421000+00:00
aidin_og,2,0,0,0,2025-12-17 11:27:13.771000+00:00,2025-12-17 23:05:37.577000+00:00
ailar1000,141,30,22,0,2017-07-02 00:02:23.964000+00:00,2023-02-24 07:20:58.352000+00:00
ajan_iran,89,0,0,0,2025-02-07 11:20:08.398000+00:00,2026-02-14 13:14:18.487000+00:00
ajdemarang,66,0,0,0,2018-11-06 20:46:34.631000+00:00,2026-02-15 01:23:25.705000+00:00
ajibzade,143,4,0,1,2019-11-30 22:49:36.216000+00:00,2026-02-14 08:50:13.998000+00:00
ak_rogue_,69,1,0,2,2020-05-28 14:36:54.336000+00:00,2026-02-14 20:55:39.808000+00:00
akhavanbahar,107,0,0,0,2026-01-23 00:19:38.411000+00:00,2026-02-14 22:45:15.328000+00:00
akhbare_fori,106,0,0,0,2026-02-06 08:42:37.196000+00:00,2026-02-15 12:03:15.159000+00:00
akhoundiabbas,99,0,0,0,2025-06-20 06:23:50.632000+00:00,2026-02-14 18:14:26.272000+00:00
akramsharifi,110,0,0,0,2025-04-13 15:09:47.017000+00:00,2026-01-08 09:57:59.232000+00:00
al3_hacker,52,52,0,0,2022-09-21 18:36:38.721000+00:00,2022-12-24 00:41:02.185000+00:00
al_ardwi,72,0,0,0,2026-01-20 00:39:36.085000+00:00,2026-02-11 11:24:41.131000+00:00
ala_ti_ti,125,0,0,0,2026-01-10 13:12:02.748000+00:00,2026-02-15 11:15:48.511000+00:00
alaaalwaly1,4,0,0,0,2026-01-22 16:41:54.217000+00:00,2026-02-08 22:14:12.021000+00:00
alaki_,245,0,31,153,2023-03-05 21:24:28.734000+00:00,2025-12-28 11:59:14.364000+00:00
alamsooz,86,0,0,0,2025-02-12 08:19:23.496000+00:00,2026-02-12 00:10:45.045000+00:00
alamyn39470,5,0,0,0,2025-09-27 22:45:14.491000+00:00,2026-02-11 13:24:22.526000+00:00
alan1234454,132,0,0,20,2024-12-10 18:14:43.850000+00:00,2026-02-11 11:29:21.561000+00:00
alarabiya_brk,474,0,0,0,2026-02-12 10:40:10.039000+00:00,2026-02-15 01:03:19.780000+00:00
alarabiya_fa,89,0,0,0,2026-02-13 17:24:57.472000+00:00,2026-02-15 02:00:00.928000+00:00
alarabytv,131,0,0,0,2026-02-14 17:28:28.242000+00:00,2026-02-14 23:38:32.747000+00:00
alavi2183,55,0,0,0,2026-02-07 10:39:29.843000+00:00,2026-02-14 21:09:14.875000+00:00
alavibehrang,141,79,0,0,2019-08-19 10:19:14.762000+00:00,2022-05-26 00:00:15.135000+00:00
alborznazariz,207,2,0,33,2022-11-16 05:41:28.008000+00:00,2026-02-10 20:25:30.133000+00:00
aldo369369369,91,0,0,2,2024-11-23 12:17:02.533000+00:00,2026-02-05 13:10:20.640000+00:00
alex4380145476,1,0,0,0,2025-01-14 08:56:22.069000+00:00,2025-01-14 08:56:22.069000+00:00
ali1427_rad,9,0,0,3,2024-11-13 20:30:09.107000+00:00,2025-09-27 17:07:31.543000+00:00
ali7osain,139,1,2,0,2019-05-14 22:56:01.985000+00:00,2023-10-27 11:00:00.174000+00:00
ali94185358,1,0,0,0,2020-01-29 09:58:21.874000+00:00,2020-01-29 09:58:21.874000+00:00
ali__darghahi,1,0,0,0,2025-07-24 14:31:02.264000+00:00,2025-07-24 14:31:02.264000+00:00
ali_ahmadnia,108,0,0,1,2024-07-26 16:26:53.013000+00:00,2026-01-08 17:14:55.802000+00:00
ali_al_najafy,93,0,0,0,2025-03-27 01:55:01.949000+00:00,2026-02-15 10:49:44.318000+00:00
ali_bitarafan5,59,0,0,0,2025-08-14 17:18:46.866000+00:00,2026-02-15 00:15:28.832000+00:00
ali_cheshomi,143,35,52,56,2022-04-12 09:00:38.765000+00:00,2024-12-08 19:08:04.684000+00:00
ali_damghani_84,7,0,0,1,2024-12-25 02:06:14.084000+00:00,2025-06-11 12:24:11.956000+00:00
ali_geraei,24,0,1,0,2018-03-18 18:25:34.986000+00:00,2023-08-18 17:34:42.107000+00:00
ali_hedielou,68,1,0,0,2022-07-26 19:07:29.150000+00:00,2026-02-15 00:09:38.775000+00:00
ali_khezrian,115,0,0,0,2025-11-10 11:36:13.326000+00:00,2026-02-11 17:50:24.319000+00:00
ali_noorani_teh,113,0,0,0,2026-01-04 01:44:26.946000+00:00,2026-02-15 03:29:43.364000+00:00
ali_rajabi,76,0,0,0,2011-06-24 15:10:05.832000+00:00,2026-02-14 18:34:25.817000+00:00
ali_rezaei_sh,138,0,1,0,2021-01-24 16:49:49.903000+00:00,2026-02-15 12:31:13.257000+00:00
aliaalei,82,0,0,0,2018-09-20 22:49:07.567000+00:00,2019-11-11 13:16:40.615000+00:00
aliabc1500,5,0,0,0,2025-11-13 20:11:11.807000+00:00,2026-02-09 19:33:59.888000+00:00
aliahmadolfati,25,1,2,1,2019-03-16 13:15:30.602000+00:00,2025-12-28 20:13:27.288000+00:00
alialiraouf2,353,8,10,8,2017-01-10 11:07:29.189000+00:00,2026-01-27 02:01:53.958000+00:00
alialkhalede,124,0,0,0,2025-06-19 16:27:40.953000+00:00,2026-01-27 09:05:01.509000+00:00
aliazarids,1,0,0,0,2026-01-11 09:16:14.896000+00:00,2026-01-11 09:16:14.896000+00:00
alibahaadori,103,0,0,0,2025-09-19 17:45:54.519000+00:00,2026-02-14 16:35:15.327000+00:00
alibarghi1,10,0,0,0,2017-07-18 20:39:18.336000+00:00,2017-10-04 15:15:55.273000+00:00
alibazdarian,11,0,3,8,2023-05-06 21:59:08.321000+00:00,2024-10-01 16:13:53.774000+00:00
aliebrahimzade_,87,0,1,0,2023-04-02 06:22:31.395000+00:00,2026-02-15 00:09:48.500000+00:00
alighasemi0011,205,0,0,0,2025-05-12 18:35:58.061000+00:00,2026-02-10 18:58:33.933000+00:00
alihars6,70,55,15,0,2022-01-03 21:12:23.486000+00:00,2023-06-20 11:50:17.899000+00:00
alihashemi78849,1,0,0,0,2025-12-07 17:53:15.202000+00:00,2025-12-07 17:53:15.202000+00:00
alihgh1393,115,0,32,43,2023-06-23 19:19:04.250000+00:00,2025-07-30 21:24:29.574000+00:00
alihoseini692,2,0,0,0,2020-03-20 20:01:08.040000+00:00,2020-11-20 12:47:28.862000+00:00
aliibeyranvand,50,11,8,2,2020-04-01 21:01:47.555000+00:00,2024-05-26 18:08:20.474000+00:00
aliidaeii,70,9,10,28,2022-10-28 17:08:00.271000+00:00,2026-01-06 09:30:39.965000+00:00
aliiorgi,111,0,0,0,2025-11-16 20:27:08.684000+00:00,2026-02-13 15:08:22.282000+00:00
alijafarifo,131,111,9,0,2021-12-14 21:06:17.556000+00:00,2025-06-30 00:00:24.883000+00:00
alijannatpour,92,0,0,0,2025-09-20 13:32:06.902000+00:00,2026-02-15 11:52:48.155000+00:00
alijoonz121,128,0,0,0,2020-05-18 05:42:27.617000+00:00,2026-02-15 18:40:34.779000+00:00
alikalaei62,59,0,0,0,2021-03-14 17:48:28.309000+00:00,2026-02-15 00:14:44.754000+00:00
alikarimdoost91,96,0,0,0,2020-08-02 15:02:13.230000+00:00,2026-01-08 01:18:15.925000+00:00
alikarimi_ak8,114,0,0,0,2025-06-14 22:19:21.007000+00:00,2026-02-14 19:57:50.377000+00:00
alilarijani_ir,122,0,0,0,2025-08-13 11:05:42.285000+00:00,2026-02-15 10:11:17.165000+00:00
alimajidi65256,2,0,0,0,2025-12-17 09:06:21.741000+00:00,2025-12-17 11:36:25.773000+00:00
alimarouf153082,95,0,2,5,2023-04-30 05:19:00.523000+00:00,2026-02-08 16:05:06.593000+00:00
alimir43,1,0,0,0,2026-01-12 15:58:44.692000+00:00,2026-01-12 15:58:44.692000+00:00
alimojtahedzad3,138,0,0,0,2021-03-13 20:32:26.965000+00:00,2026-02-14 12:36:10.506000+00:00
alimokhtari102,120,0,1,0,2023-11-30 05:56:23.788000+00:00,2026-02-12 12:52:01.231000+00:00
alimoujani,72,0,0,0,2026-01-12 10:00:48.342000+00:00,2026-02-15 03:05:18.519000+00:00
alinazarij,7,0,0,0,2025-05-08 15:54:54.215000+00:00,2025-07-09 13:57:17.223000+00:00
alirabiei_iran,172,0,0,102,2024-05-10 16:06:45.465000+00:00,2026-01-02 19:10:26.205000+00:00
alireza4759,85,1,19,47,2022-12-29 19:57:27.093000+00:00,2025-08-29 17:22:54.521000+00:00
alireza84808379,63,0,0,0,2025-08-20 14:17:25.115000+00:00,2026-02-14 18:23:06.147000+00:00
alireza_arg,111,0,0,37,2024-06-22 18:28:36.205000+00:00,2025-12-19 19:00:41.707000+00:00
alireza_didani,89,0,0,0,2026-02-13 06:17:00.250000+00:00,2026-02-15 15:55:15.092000+00:00
alireza_kh29320,5,0,0,0,2025-08-15 10:50:04.090000+00:00,2025-11-05 14:18:56.429000+00:00
alirezaabasi_ir,232,0,0,29,2024-10-28 15:05:05.795000+00:00,2026-02-10 21:21:51.028000+00:00
alirezaakhondi,112,0,0,0,2025-03-22 00:31:02.016000+00:00,2026-02-10 17:45:22.800000+00:00
alirezaami58678,59,0,0,1,2024-10-09 23:12:28.493000+00:00,2026-02-11 13:59:37.512000+00:00
alirezakiani2,69,0,0,0,2021-11-29 06:53:09.747000+00:00,2026-02-15 01:33:52.209000+00:00
alirezamm1992,88,0,0,1,2024-12-11 17:05:01.482000+00:00,2026-02-15 15:57:05.046000+00:00
alirezanader,99,0,0,0,2026-02-12 14:18:41.056000+00:00,2026-02-15 18:56:09.204000+00:00
alirezasayeh,61,0,0,1,2024-03-24 20:39:19.856000+00:00,2025-12-27 19:41:05.926000+00:00
alirezashayest1,121,0,0,1,2017-04-10 17:26:24.905000+00:00,2026-02-10 18:56:17.349000+00:00
alirostami89168,42,0,0,1,2024-10-25 22:09:05.134000+00:00,2026-02-06 14:29:54.272000+00:00
alisajed465625,103,0,0,0,2025-11-24 13:17:14.904000+00:00,2026-02-03 00:42:07.635000+00:00
aliscorban,153,0,0,0,2018-05-20 03:04:39.685000+00:00,2026-01-18 15:59:52.911000+00:00
alishakourirad,205,154,26,0,2021-08-17 19:52:03.344000+00:00,2025-08-29 16:00:58.564000+00:00
alishariat1380,1,0,0,1,2024-10-31 06:54:50.385000+00:00,2024-10-31 06:54:50.385000+00:00
alisoleymaiii,44,0,1,19,2023-11-14 18:35:27.382000+00:00,2026-01-23 09:32:21.903000+00:00
alivesali,99,0,2,1,2023-02-15 16:58:25.521000+00:00,2026-01-30 10:12:17.624000+00:00
alizamaniyan,23,0,4,1,2015-06-11 12:38:40.582000+00:00,2026-02-02 17:28:32.609000+00:00
aliziyak,66,0,0,0,2025-05-05 13:21:00.321000+00:00,2025-12-09 09:37:16.763000+00:00
almodarresisays,72,30,11,0,2021-11-19 17:26:03.070000+00:00,2023-10-19 23:09:10.997000+00:00
alparsai,113,0,0,0,2025-02-20 19:12:27.272000+00:00,2026-02-13 20:06:51.674000+00:00
alrthaan21,246,0,104,86,2023-02-26 16:20:51.460000+00:00,2025-12-17 01:19:42.932000+00:00
alsynya1,126,125,1,0,2022-01-02 19:12:03.294000+00:00,2023-07-26 09:00:13.489000+00:00
alyamaniyeen,91,0,0,0,2026-02-13 10:26:43.378000+00:00,2026-02-15 19:27:16.720000+00:00
amadei_paola,3,2,1,0,2022-10-19 11:54:57.077000+00:00,2023-10-01 12:57:37.406000+00:00
amalsaad_lb,112,1,0,0,2022-01-12 15:15:49.259000+00:00,2026-02-15 04:18:31.628000+00:00
